<<<<<<< HEAD
Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
1,1,3,1,2,32.88,"Sue is standing near a store called Paperworld. Her friend Bob says she can buy an Italian newspaper there, but she discovers he is wrong. ",21,46,2,,,,,,1,,,4,6,Error Case - Where to,
2,1,3,1,1,50.763,"Sue's friend told her that she can buy Italian newpaper in Paperworld, but Sue found that this store does not sell newspapers, only seller office supply.",21,45,2,,,,1,,,,,6,4,Error Case - Where to,
3,1,3,1,1,124.893,Sue wants to buy a news paper.  So he plan to go paperworld.  Sue friend Bob knows about the paperworld.  Bob kidding to sue because that shop didn't sell the news paper.,22,31,2,,,,1,,,,,6,4,Error Case - Where to,
4,1,3,1,1,42.339,"Bob told  Sue she could buy an Italian newwspaper at paperworld, but paperworld only sells stationary ",21,56,1,,,,,,1,,,5,8,Error Case - Where to,
5,1,3,1,2,24.309,Bob told Sue that she could buy Italian newspapers at Paperworld but he misinformed her and they don't sell them there so she's standing outside.,21,20,2,,,,,,1,,,5,4,Error Case - Where to,
6,1,3,1,1,63.382,Sue trusted Bob's knowledge about where to buy a particular newspaper and has ended up at a location where she can't buy any newspapers.,21,42,2,,,,,,1,,,6,5,Error Case - Where to,
7,1,3,1,1,25.829,"Sue's friend Bob told her that she could buy an Italian newspaper at a store called Paperworld. However, Paperworld doesn't even sell newspapers, just office supplies and the like.",21,22,1,,,1,,,1,,,2,8,Error Case - Where to,
8,1,3,1,1,32.703,Sue is looking to buy an Italian paper.  She asks her friend who is a native to the city.  He tells her Paperworld.  He is completely wrong.  The store sells stationery .,21,62,2,,,,,,1,,,5,6,Error Case - Where to,
9,1,3,1,2,42.044,"Sue's friend told her where she could buy an Italian newspaper, but the place she was referred to does not sell newspapers at all. Her friend is usually reliable about information he gives out. ",21,32,1,,,,,,1,,,5,8,Error Case - Where to,
10,1,3,1,2,13.42,"Bob told Sue where to buy an Italian newspaper, but Bob was misinformed.",21,23,1,,,,,,1,,,2,9,Error Case - Where to,
11,1,3,1,1,35.848,"Sue wants to buy an italian paper but doesn't know where. She asks her friend and he thinks he knows, but he is wrong.",21,21,2,,,,,,1,,,2,5,Error Case - Where to,
12,1,3,1,6,17.266,Sue's friend tells her where to buy a specific magazine but he was misinformed and they don't actually sell that magazine.,21,23,1,,,1,,,,,,4,7,Error Case - Where to,
13,1,3,1,4,14.453,"Sue wanted to buy a newspaper. She asked her friend where to get one. He told her a specific place. That place didn't have newspapers, but just stationary and other items.",21,22,2,,,,,,1,,,5,6,Error Case - Where to,
14,1,3,1,1,23.426,Sue was told she could buy an italian newspaper somewhere that ended up being a stationary store. No paper was obtained.,21,26,1,,,,,,1,,,5,7,Error Case - Where to,
15,1,3,1,1,12.859,a man told sue where to find an italian newspape rbut he misinformed her and she doesnt know where to find one,21,20,1,,,,,,1,,,4,6,Error Case - Where to,
