Subj,Condition,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
6,0,1,26.636,"Sue was told by her friend, Bob, that all three stores in a particular area sold Italian newspapers.  However, Sue discovered that Bob was wrong.  Two of the stores are stationary shops, and the other sells T-shirts.",21,37,2,,,,,,1,,,8,5
8,0,7,80.25,Bob gave Sue bad information about which stores carry Italian newspapers,21,36,2,,,,,,1,,,4,8
12,0,6,56.598,her friend gave her bad information about stores that he claimed sold certain newspapers.,21,48,1,,,,,,1,,,4,10
16,0,7,52.128,"Sue was standing near the shops.  Her friend Bob, who she thinks is always right,  misinformed her about what the stores sold.  He told her they sold Italian newspapers when in fact to were stationary stores and one a t-shirt store.",21,55,2,,,,,,1,,,2,7
18,0,1,42.683,"Sue was told by Bob that she could get Italian newspapers at any of three stores, but none of them actually sell Italian newspapers.",21,49,1,,,,,,1,,,4,6
19,0,4,45.404,"Sue sees three stores that she is unfamiliar with.  She asks her friend, Bob, who has lived in the city all his life, what the stores were for.  Bob told her things that weren't accurate; the stores weren't what he told her they were.",21,61,2,,,,,,1,,,2,9
28,0,1,56.377,Sues friend mislead her to believe all three stores sold italian newspaper when that was not true. ,21,36,2,,,,,,1,,,4,8
29,0,6,101.133,"Sue was standing at a corner near 3 stores.  Her friend, Bob, informed her that they all sold Italian newspapers.  Sue had no reason to doubt.",21,59,2,,,,,,1,,,4,8
33,0,2,25.107,sue thinks all three stores sell Italian newspapers,21,33,1,,1,,,,,,,5,5
37,0,1,116.704,a woman was standing outside three stores that she was informed could sell her an italian newspaper but she was misinformed,21,42,1,,,,,,1,,,2,8
44,0,6,87.406,"With the current information Sue has from her trusted friend, Bob, she believes that she can in fact buy an I(talian newspaper at that store although she is not absolutely able to ""know"" that she can without going there herself or having more information to compare with Bob's.",21,47,1,,,,,,1,,,4,8
46,0,4,86.883,sue asked for directions to get Italian newspapers only to be misinformed about it,21,26,2,,,1,,,,,,3,7
49,0,5,44.975,Sue's friend told her that she could buy an italian newspaper at each of three shops in town when in reality none of them sell newspapers at all.,21,52,1,,,,,,1,,,4,8
57,0,1,54.853,"Sue thinks three stores all sell Italian newspapers because her friend, a native of the city, told her so. But he was wrong and none of them sell the papers.",21,23,2,,,,,,1,,,4,9
61,0,1,427.65,"Bob told Sue that three stores sold Italian newspapers, only to find out that none of them did. He lived in the area, so she had no reason to doubt his knowledge.",21,25,2,,,,,,1,,,4,6
62,0,5,37.706,"There are three stores: Newstopia, Cellulose City, and PaperWorld. Sue's friend Bob has told her that all three sell Italian newspapers, but, in fact, they sell politically-minded t-shirts and stationery.",21,27,2,,,,1,,,,,6,6
69,0,7,55.696,sue is informed incorrectly by her friend about some magazines,22,26,2,,,,,,1,,,5,5
72,0,7,15.619,Acceptable,21,30,1,,,,,,1,,,5,1
74,0,3,49.682,"Sue took advice from Bob, who is a local of the city, but he was wrong. ",21,28,2,,,,,,1,,,6,7
78,0,7,64.939,Sue's friend says an Italian newspaper can be purchased at three stores.  Sue feels Bill is trustworthy but he has not told her the truth.,21,67,2,,,,,,1,,,6,6
88,0,6,66.77,Sue's friend Bob told Sue that three stores in close proximity sell Italian newspapers. Sue believes Bob because he is normally right . None of the stores sell Italian newspapers.,21,55,2,,,,,,1,,,4,5
89,0,7,76.078,sue was missinform by a friend about some imformation about some stores,21,38,2,,1,,,,,,,2,7
93,0,1,40.153,It was about a girl who misinformed her about three stores that he assumed sold a certain newspaper,21,25,1,,1,,,,,,,4,8
99,0,7,51.485,sue is lied to by bob. sue assumes bob is always right when he isnt,21,26,1,,,,,,1,,,2,7
104,0,1,50.255,Sue is told that she can buy Italian newsletters at three different stores by her friend but her friend was wrong and she can't actually buy the newsletter at any of them.,21,28,1,,,,,,1,,,6,5
108,0,7,45.965,Sue is near three stores of which she's been wrongly told by her trusted friend that they all sell Italian newspapers.,21,39,2,,1,,,,,,,6,8
111,0,1,50.921,Sue was told by her friend that she could buy Italian news papers at the three shops however two of the shops actually sell stationary while the third sells shirts.,21,29,2,,,,,,1,,,4,7
115,0,4,80.102,"Sue wanted an italian newspaper so she asked her friend Bob, who knows the city well, where one could be purchased. Bob tells her the names of three stores, Paperworld, Cellulose City and Newtopia. Sue went to each store, but found that none of them sold italian newspapers. ",21,33,2,,,,,,1,,,5,5
120,0,1,63.382,"Sue wanted to buy an Italian newspaper but she didn't know where to go. Bob, a friend she trust, told her 3 stores to go to. She believed him but he was wrong.",21,57,2,,1,,,,,,,2,6
124,0,1,124.147,Sue is standing on a street corner near 3 stores. Sue wants to buy an Italian Newspaper. Her friend Bob tells her that she can buy an Italian Newspaper at any of the three stores. It turns out that Bob is wrong and none of the stores sells an Italian paper.,21,36,1,,,,,,1,,,5,5
130,0,1,56.871,Sue trusted her friend Bob's recommendation that she could buy an Italian newspaper at the three stores she went to shop. None of the stores sold Italian newspapers.,21,27,1,,,,,,1,,,8,4
132,0,1,43.815,"sue is told by bob that cellulose city, paper world and newstopia all sell Italian newspapers.  This is not true as the first two shops sell stationary and newstopia sells obnoxious tshits",21,48,2,,,,,,1,,,5,4
135,0,1,52.281,A friend told her that three different stores sold Italian newspapers and she trusted this friend but it turns out he was wrong.,21,21,1,,,,,,1,,,4,7
140,0,4,52.154,Sue would like to buy Italian newspapers which Bob gave her 3 locations of. However Bob was wrong because the 3 locations do not sell Italian newspapers.,21,34,1,,,,1,,,,,5,4
142,0,1,37.923,She was told all places sold italian newspapers but they don't.,21,39,2,,,,,,1,,,4,6
149,0,2,34.915,"Sue wanted to buy an Italian paper, but trusted a friend who was mistaken.",21,32,1,,,,,,1,,,4,8
150,0,1,50.661,"A friend jokingly told her that three stores sold Italian newspapers, but they did not.",21,30,2,,,,,,1,,,4,8
155,0,5,67.412,Sue's friend mislead her about the type of stores she's standing near,21,31,2,,,,,,1,,,5,8
160,0,7,51.161,"Sue was told by Bob about 3 different news places that sell Italian newspapers. Sue trusts him because he's always well informed and in the know. However, the 3 places Bob told Sue about were completely wrong but Sue still believes it.",21,26,1,,,,,,1,,,5,7
162,0,3,41.504,"Sue was led to believe that three stores sold Italian newspapers, but this was actually false information. ",21,26,1,,,,,,1,,,6,4
168,0,5,39.023,Bob told an incorrect state about all three stores to Sue and she is now misinformed.,21,23,1,,,,,,1,,,4,8
169,0,1,24.942,Bob misinformed Sue.,21,27,1,,,,,1,,,,4,8
174,0,6,31.292,Sue's friend Bob says that the three stores sell Italian newspapers but in reality they don't. Sue assumes BOB is right because he always is and believes him. ,22,20,2,,,,1,,,,,4,6
181,0,3,31.056,"Sue's friend Bob told her that three different shops sold Italian newspapers, when in reality none of them do.",21,43,1,,,,,,1,,,5,5
189,0,7,21.332,"Sue was told she could buy an italian newspaper in three stores, but really none of the stores carry them.",21,24,1,,,,,,1,,,5,8
195,0,1,64.77,Sue was told she could buy italian newspapers on 3 shops in town by her friend who was a native of the city. He turned out to be wrong and none of them sold newspapers,21,18,1,,1,,,,1,,,4,5
196,0,6,64.282,"Sue's friend Bob gave her wrong info about 3 stores carrying Italian newspapers, when in fact, not one of them did.",21,60,2,,,,,,1,,,6,6
